"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2012_Pres_VA",2012,"VA",-2.20634920634921,4.21655236847452,-3.90000000000001,63,-3.24757110900851,-1.1651273036899,1
"2012_Pres_VT",2012,"VT",-31,6,-35.6,3,-37.78963916567,-24.21036083433,0
"2012_Pres_WI",2012,"WI",-5.38,4.33726143259706,-6.9,50,-6.58222753254116,-4.17777246745884,1
"2012_Pres_WV",2012,"WV",15.3333333333333,4.93288286231625,26.8,3,9.75125088639255,20.9154157802741,1
"2012_Sen-G_AZ",2012,"AZ",6,1,3.02,3,4.86839347238833,7.13160652761167,1
"2012_Sen-G_CA",2012,"CA",-18.5,1.91485421551268,-25.04,4,-20.3765571312024,-16.6234428687976,1
"2012_Sen-G_CT",2012,"CT",-3.7875,2.87175282462023,-11.75,8,-5.77752317825698,-1.79747682174302,1
"2012_Sen-G_FL",2012,"FL",-7.46571428571429,3.72191962759618,-13,21,-9.05760560528775,-5.87382296614083,1
"2012_Sen-G_IN",2012,"IN",-2.894,4.83230586780266,-5.73,5,-7.12970284812332,1.34170284812332,0
"2012_Sen-G_MA",2012,"MA",-3.70909090909091,3.70012284808344,-7.55,11,-5.89572377854685,-1.52245803963497,1
"2012_Sen-G_MI",2012,"MI",-13.7344444444444,3.85644626278881,-20.82,9,-16.2539893361331,-11.2148995527558,1
"2012_Sen-G_MN",2012,"MN",-31,8.52447456836295,-34.7,4,-39.3539850769957,-22.6460149230043,0
"2012_Sen-G_MO",2012,"MO",-7.2,4.89591666595746,-15.7,9,-10.3986655550922,-4.00133444490779,1
"2012_Sen-G_MT",2012,"MT",-1.21166666666667,1.15845443012087,-3.72,6,-2.13862326639385,-0.284710066939486,1
"2012_Sen-G_ND",2012,"ND",0.2,3.27108544675922,-0.899999999999999,5,-2.66723281231225,3.06723281231225,0
"2012_Sen-G_NE",2012,"NE",6.6,5.53293171233238,15.54,7,2.50114682705841,10.6988531729416,1
"2012_Sen-G_NJ",2012,"NJ",-17.6666666666667,2.51661147842358,-19.45,3,-20.5144806431132,-14.8188526902201,0
"2012_Sen-G_NM",2012,"NM",-7.66666666666667,0.577350269189626,-5.73,3,-8.32,-7.01333333333333,1
"2012_Sen-G_NV",2012,"NV",3.24545454545455,3.31371804363728,1.16,11,1.28717232299275,5.20373676791634,1
"2012_Sen-G_NY",2012,"NY",-40.25,5.56027577253743,-45.86,4,-45.6990702570867,-34.8009297429133,1
"2012_Sen-G_OH",2012,"OH",-4.66451612903226,3.71219148097156,-6,31,-5.97130550238965,-3.35772675567487,1
"2012_Sen-G_PA",2012,"PA",-6.24,4.16529882309952,-9.09999999999999,15,-8.34793204191533,-4.13206795808467,1
"2012_Sen-G_VA",2012,"VA",-1.51904761904762,3.06228983729807,-5.91,21,-2.82881061711678,-0.209284620978461,1
"2012_Sen-G_WA",2012,"WA",-22.825,5.57277608856962,-20.9,4,-28.2863205667982,-17.3636794332018,0
"2012_Sen-G_WI",2012,"WI",-0.452631578947368,2.43911833366363,-5.55,19,-1.54939293907595,0.644129781181215,1
